initial_design, DcGain, Voltage_Ripple
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.470704,0.606507
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",4.718482,0.9818736
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.709164,0.8475957
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.70819,0.9101169
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",7.432808,1.770085
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.311213,54.1302
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.593414,14.7566
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.753839,2.66279
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.127677,0.440622
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.398388,0.8004359
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.808474,0.960611
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",3.064809,1.088858
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",6.246195,0.8875315
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.89301,0.8345158
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.834453,1.108112
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.079718,2.27982
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.5782227,24.09604
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.9961531,0.4223029
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.261544,0.8216289
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.327619,1.407503
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",4.277182,1.286264
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",4.213697,1.35681
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.269455,3.263849
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.01053202,632.0049
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.0134106,384.517
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.2047293,42.96955
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.291238,0.290777
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.92845,0.4067189
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.369187,0.4341371
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.34001,0.4062005
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.388758,0.4252913
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.391658,0.4523523
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.102877,0.4813567
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.9483404,0.8481685
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.175951,2.10998
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.6010591,0.05377964
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.04830474,0.6425649
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.001918395,3.668747
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.00152773,5.79854
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.00113932,7.26677
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.01033793,2.379294
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.01228323,1.000476
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.01890955,0.9829869
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.00378298,11.7779
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.221937,0.3654798
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.654391,0.5447959
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.241151,0.674511
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.197693,0.6354145
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.161994,0.6248611
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.95269,0.6996753
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.475171,0.8834284
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.7633052,1.417209
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.0385187,17.327
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.5975064,0.05134603
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.05174606,0.7325352
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.001236248,7.831287
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.0003296296,28.55264
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.000604015,6.80555
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.002789959,6.949152
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.005993641,1.609809
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.004301946,3.670206
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.00966999,4.27501
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.146495,0.3241931
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.482242,0.4920829
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.067564,0.6514546
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.439522,0.8218582
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.243147,0.7305673
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",4.790737,0.8147037
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.564846,1.990352
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.303253,29.1697
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.491994,5.81942
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.14692,0.3235662
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.582904,0.5813077
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",4.57827,0.8758857
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.590985,0.8245066
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.680162,0.9131505
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.534453,1.810058
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.154539,60.1522
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.162979,34.6103
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.587242,2.80187
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.11461,0.4482863
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.380123,0.7007136
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.732389,0.939898
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.878577,1.291345
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",4.661712,1.124766
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",4.075045,1.236554
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.699614,3.093372
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.00207505,1775.93
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.06790457,42.08636
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.05397,0.4194294
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.324607,0.7799898
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.380103,1.287775
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",4.217913,1.227725
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",4.187306,1.401109
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2.017434,3.917021
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.7000000000000001, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.04532051,122.0534
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.8, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.1878359,32.59793
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.9, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.2134998,40.80102
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.1, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.348097,0.3837185
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.2, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.844309,0.4890315
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.30000000000000004, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.756437,0.4839744
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.4, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.46316,0.5016964
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1.106185,0.5494167
"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.6, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.6585877,1.435005
