C1, C2, C3, C4, C5, C6, L1, L2, L3, T1, g, r, e
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.4, 2.34001, 0.4062005, -0.1979827324511129
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.5, 2.388758, 0.4252913, -0.4703921021154458
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.6, 2.391658, 0.4523523, -1.267366425852161
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.7000000000000001, 2.102877, 0.4813567, -3.1116997556743624
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.8, 0.9483404, 0.8481685, -8.516486483347425
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.9, 0.175951, 2.10998, -13.438021326565446
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.1, 0.6010591, 0.05377964, 0.9859563327214121
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.2, 0.04830474, 0.6425649, 0.8452364722496846
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.30000000000000004, 0.001918395, 3.668747, 0.9006514923852936
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.4, 0.00152773, 5.79854, 0.895307987691102
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.5, 0.00113932, 7.26677, 0.9699370658431484
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.6, 0.01033793, 2.379294, 0.9084323231588609
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.7000000000000001, 0.01228323, 1.000476, 0.8367550094624548
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.8, 0.01890955, 0.9829869, 0.5953119365710656
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.001, 0.9, 0.00378298, 11.7779, 0.169706444418457
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.1, 1.221937, 0.3654798, 0.5930307269667131
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.2, 1.654391, 0.5447959, 0.03302147825135795
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.30000000000000004, 2.241151, 0.674511, -0.2076573084096727
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.4, 2.197693, 0.6354145, -0.1509967937485944
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.5, 2.161994, 0.6248611, -0.05556206581378721
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.6, 1.95269, 0.6996753, -0.06847991844089218
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.7000000000000001, 1.475171, 0.8834284, -0.027279842347008067
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.8, 0.7633052, 1.417209, 0.0582860357916332
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 1e-06, 0.9, 0.0385187, 17.327, 0.3238339587704812
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.1, 0.5975064, 0.05134603, 0.9856477012652282
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.2, 0.05174606, 0.7325352, 0.8462844245698095
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.30000000000000004, 0.001236248, 7.831287, 0.8736917061391621
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.4, 0.0003296296, 28.55264, 0.8702131162921493
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.5, 0.000604015, 6.80555, 0.9702590778695284
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.6, 0.002789959, 6.949152, 0.8915234186121898
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.7000000000000001, 0.005993641, 1.609809, 0.8789218271102428
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.8, 0.004301946, 3.670206, 0.5680888286237955
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.001, 0.9, 0.00966999, 4.27501, -1.0121854241154151
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.1, 1.146495, 0.3241931, 0.11288572268252839
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.2, 1.482242, 0.4920829, -1.102022549735654
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.30000000000000004, 2.067564, 0.6514546, -2.285083504089492
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.4, 5.439522, 0.8218582, -5.688839531017035
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.5, 5.243147, 0.7305673, -5.014850537149217
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.6, 4.790737, 0.8147037, -5.81674648992471
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.7000000000000001, 5.564846, 1.990352, -21.76695652156959
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.8, 0.303253, 29.1697, -20.058290894000642
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.9, 0.491994, 5.81942, -9.16973992285516
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.1, 1.14692, 0.3235662, 0.44555176366215604
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.2, 1.582904, 0.5813077, -0.55440827908865
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.30000000000000004, 4.57827, 0.8758857, -4.18673439980113
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.4, 5.590985, 0.8245066, -5.0277586018631615
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.5, 5.680162, 0.9131505, -5.9336272687815
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.6, 5.534453, 1.810058, -13.910429890279941
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.7000000000000001, 0.154539, 60.1522, -14.899346858840934
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.8, 0.162979, 34.6103, -12.769845518289332
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.9, 0.587242, 2.80187, -5.091162767683509
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.1, 1.11461, 0.4482863, 0.06315673665928619
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.2, 1.380123, 0.7007136, -0.6669123546492931
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.30000000000000004, 1.732389, 0.939898, -1.679229509881702
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.4, 2.878577, 1.291345, -3.011653667680094
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.5, 4.661712, 1.124766, -4.370790138871146
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.6, 4.075045, 1.236554, -4.163220423027351
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.7000000000000001, 1.699614, 3.093372, -4.89952121915608
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.8, 0.00207505, 1775.93, -3.0277698845213727
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 1e-06, 0.9, 0.06790457, 42.08636, -1.877973018862606
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.1, 1.05397, 0.4194294, 0.46957593558942035
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.2, 1.324607, 0.7799898, -0.3632375056202392
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.30000000000000004, 2.380103, 1.287775, -2.1172309965291065
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.4, 4.217913, 1.227725, -3.894439159513311
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.5, 4.187306, 1.401109, -4.503734329375762
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.6, 2.017434, 3.917021, -6.240442511424911
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.7000000000000001, 0.04532051, 122.0534, -3.724521427623483
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.8, 0.1878359, 32.59793, -4.113712171397425
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 0.001, 0.001, 0.9, 0.2134998, 40.80102, -5.35534797719561
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.1, 1.348097, 0.3837185, 0.30571311095068854
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.2, 1.844309, 0.4890315, -0.4372907068541238
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.30000000000000004, 1.756437, 0.4839744, -0.5982184709901087
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.4, 1.46316, 0.5016964, -0.21612747158039575
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.5, 1.106185, 0.5494167, -0.4033353456619738
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.6, 0.6585877, 1.435005, -2.231783929299453
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.7000000000000001, 0.0001058323, 5338.597, -2.04843790565008
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.8, 0.0009236967, 511.1666, -3.123462445541477
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 1e-06, 0.9, 0.00901207, 35.9077, -5.115714979487455
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 0.001, 0.1, 0.8054426, 0.06239086, 0.9929550753613154
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 0.001, 0.2, 0.5504575, 0.07044738, 0.9883832067337386
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 0.001, 0.30000000000000004, 0.2071565, 0.2762783, 0.979775378210893
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 0.001, 0.4, 0.01087482, 1.902957, 0.9600067580532267
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 0.001, 0.5, 0.0313996, 3.08547, 0.9592129117273367
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 0.001, 0.6, 0.0379474, 1.136697, 0.8524810382838175
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 0.001, 0.7000000000000001, 0.06031888, 0.9870399, 0.8676998869898327
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 0.001, 0.8, 0.0444271, 0.385576, 0.6368103938121223
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 1e-06, 0.001, 0.9, 0.0100063, 3.90954, -0.028038861606341607
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 1e-06, 0.1, 1.195172, 0.32101, 0.5623193381804497
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 1e-06, 0.2, 1.843356, 0.7210539, -0.41036007384192885
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 1e-06, 0.30000000000000004, 2.101889, 0.8151144, -0.7309118369262977
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 1e-06, 0.4, 2.129469, 0.9353567, -0.9166896214532163
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 1e-06, 0.5, 1.817004, 1.370171, -1.3136119453514359
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 1e-06, 0.6, 0.8886404, 3.076288, -1.5566736450078418
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 1e-06, 0.7000000000000001, 0.0249888, 90.5169, -1.1633704113428303
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 1e-06, 0.8, 0.0413134, 43.4142, -0.6368432272453158
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 1e-06, 0.9, 0.0826814, 15.6965, -0.1418563398982193
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 0.001, 0.1, 0.8047575, 0.05764102, 0.9921271400331807
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 0.001, 0.2, 0.5490132, 0.0661559, 0.9875026472003777
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 0.001, 0.30000000000000004, 0.2075782, 0.2615499, 0.9798856349670642
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 0.001, 0.4, 0.01385385, 1.333354, 0.9620076396576946
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 0.001, 0.5, 0.0348802, 2.19091, 0.9577907430125303
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 0.001, 0.6, 0.0339278, 1.675536, 0.8692556590399639
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 0.001, 0.7000000000000001, 0.07068981, 0.5149523, 0.8874769203373812
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 0.001, 0.8, 0.0444834, 0.4291, 0.6435212175143614
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 0.001, 0.001, 0.001, 0.9, 0.01436899, 6.46786, -0.42913939662807715
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 1e-06, 0.1, 1.123351, 0.4543811, -0.11203649285987934
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 1e-06, 0.2, 1.610825, 0.728847, -2.360553730303847
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 1e-06, 0.30000000000000004, 3.481618, 0.8368207, -5.381176616052131
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 1e-06, 0.4, 5.613365, 0.6579137, -3.884700860017142
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 1e-06, 0.5, 4.498397, 0.6451694, -3.6799018880847174
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 1e-06, 0.6, 4.070156, 0.6604405, -4.809928201841484
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 1e-06, 0.7000000000000001, 4.413435, 0.7550473, -8.126712696481075
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 1e-06, 0.8, 1.921152, 2.081675, -13.824954838535076
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 1e-06, 0.9, 0.251472, 5.70849, -8.558930809834443
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.001, 0.1, 1.090285, 0.5653201, 0.0007603465477440542
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.001, 0.2, 3.826532, 1.59272, -7.581538036650722
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.001, 0.30000000000000004, 5.256513, 1.389744, -8.887616387812162
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.001, 0.4, 5.280475, 1.460963, -9.418638973921814
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.001, 0.5, 5.529112, 2.588294, -19.266072924154034
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.001, 0.6, 0.175903, 106.19, -31.16575897637849
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.001, 0.7000000000000001, 0.359449, 39.7096, -24.297705868576244
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.001, 0.8, 0.628908, 11.8507, -16.332648700192447
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 1e-06, 0.001, 0.9, 0.651087, 2.73066, -5.481603985576341
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 1e-06, 0.1, 1.038373, 0.6232695, 0.07559719662146042
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 1e-06, 0.2, 1.324092, 1.010554, -1.2246732677557086
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 1e-06, 0.30000000000000004, 2.156894, 1.263629, -2.454848685191371
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 1e-06, 0.4, 4.729171, 1.055887, -3.358146568712293
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 1e-06, 0.5, 4.992621, 0.9164411, -3.40535122807752
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 1e-06, 0.6, 5.305253, 1.054438, -4.005945070871965
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 1e-06, 0.7000000000000001, 5.406933, 1.509963, -5.815018297140805
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 1e-06, 0.8, 3.030752, 5.331987, -11.152437118469518
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 1e-06, 0.9, 0.2247558, 84.15605, -13.267798884140646
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.001, 0.1, 0.9877676, 0.6646208, 0.1900275976522914
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.001, 0.2, 1.445649, 1.809398, -2.028652870391662
1e-06, 1e-06, 1e-06, 1e-06, 2e-05, 1e-06, 1e-06, 0.001, 0.001, 0.30000000000000004, 2.836897, 2.042622, -5.0060569667573676
